InputID,TargetID,Distance
 DZA, BRA,7524174.36222974
 DZA, IOT,8247557.38936166
 DZA, BRN,11882330.2612805
 DZA, BRN,11882330.2612805
 DZA, BGR,2584479.64383336
 DZA, BFA,1740065.69786212
 DZA, BDI,4529985.06203458
 DZA, KHM,10488814.9544333
 DZA, CMR,2613986.98609947
 DZA, CAN,7777370.51202487
 DZA, CPV,3078311.59063913
 DZA, CYM,8404801.92142037
 DZA, CAF,3000151.66927985
 DZA, TCD,2191120.59578114
 DZA, CHL,10149173.4617731
 DZA, CHN,9266225.36568364
 DZA, CXR,11794010.5242337
 DZA, CCK,11029121.6665275
 DZA, COL,8333554.32093178
 DZA, COM,6285703.96107684
 DZA, COG,3455843.6075597
 DZA, COD,3887290.4621803
 DZA, COK,18130486.0267641
 DZA, CRI,9206982.30568619
 DZA, CIV,2368324.28012116
 DZA, CIV,2368324.28012116
 DZA, HRV,2203140.52209958
 DZA, CUB,8264923.5578486
 DZA, CYP,2690498.8680706
 DZA, CZE,2638746.02817438
 DZA, DNK,3160007.84534524
 DZA, DJI,4545106.69109904
 DZA, DMA,6728507.37861353
 DZA, DOM,7483089.02622721
 DZA, ECU,9186533.08578103
 DZA, EGY,2664816.93792682
 DZA, SLV,9487416.1490572
 DZA, GNQ,2972154.55100741
 DZA, ERI,3979393.74498177
 DZA, EST,3870671.89077038
 DZA, ETH,4291007.5460214
 DZA, FLK,10700501.5014974
 DZA, FRO,3850070.7253172
 DZA, FJI,18636593.4665446
 DZA, FIN,4325652.75373649
 DZA, FRA,1999581.92512649
 DZA, GUF,6486493.94169468
 DZA, PYF,15953658.2704813
 DZA, ATF,10224378.4234345
 DZA, GAB,3342534.36864939
 DZA, GMB,2589479.00173996
 DZA, GEO,3964757.62903362
 DZA, DEU,2603141.71589308
 DZA, GHA,2275410.49345526
 DZA, GIB,1201921.71804751
 DZA, GRC,2138840.04009937
 DZA, GRL,5537074.73431053
 DZA, GRD,6913082.47665991
 DZA, GLP,6716250.06148111
 DZA, GUM,13851701.4331947
 DZA, GTM,9528683.36554609
 DZA, GGY,2433557.56615164
 DZA, GIN,2320429.48928444
 DZA, GNB,2578777.32675427
 DZA, GUY,7010484.41155616
 DZA, HTI,7652301.50445963
 DZA, HMD,11204296.0154924
 DZA, VAT,1764522.68264659
 DZA, HND,9196640.23155455
 DZA, HKG,10774151.7025531
 DZA, HUN,2577370.75511404
 DZA, ISL,4369983.09645576
 DZA, IND,7472035.90222077
 DZA, IDN,12921861.9593625
 DZA, IRN,4802347.24295218
 DZA, IRQ,3950007.55900744
 DZA, IRL,2920773.93443425
 DZA, IMN,2977321.0001311
 DZA, ISR,3333193.628696
 DZA, ITA,1869279.42654869
 DZA, JAM,8175937.84618649
 DZA, JPN,11501787.4639371
 DZA, JEY,2395157.85574359
 DZA, JOR,3205468.86744204
 DZA, KAZ,5929726.41803271
 DZA, KEN,4776367.36290503
 DZA, KIR,16580622.7933666
 DZA, PRK,10515795.3839487
 DZA, KOR,10774435.5516506
 DZA, KOR,10774435.5516506
 DZA, KWT,4340947.73271323
 DZA, KGZ,6581684.08195878
 DZA, LAO,10211084.3340695
 DZA, LVA,3657823.77575102
 DZA, LBN,3190238.35266609
 DZA, LSO,6918052.02555927
 DZA, LBR,2720750.49209406
 DZA, LBY,1433749.16104455
 DZA, LBY,1433749.16104455
 DZA, LIE,2202213.8190118
 DZA, LTU,3531932.47382512
 DZA, LUX,2429628.14398792
 DZA, MAC,10726507.5661044
 DZA, MKD,2307465.73934266
 DZA, MDG,7115678.52232743
 DZA, MWI,5679292.07996199
 DZA, MYS,11787258.1318943
 DZA, MDV,7882770.79221463
 DZA, MLI,1414262.33657136
 DZA, MLT,1396232.09833354
 DZA, MHL,15607214.6678424
 DZA, MTQ,6729398.35047153
 DZA, MRT,1762497.34200284
 DZA, MUS,7936168.12144383
 DZA, MYT,6408150.56045767
 DZA, MEX,10196014.0660389
 DZA, FSM,15322742.9427125
 DZA, MDA,3092505.76567048
 DZA, MCO,1789682.30545116
 DZA, MNG,8676090.43232444
 DZA, MNE,2124819.78105286
 DZA, MSR,6754952.25931574
 DZA, MAR,889775.825204863
 DZA, MOZ,6170367.53896139
 DZA, MMR,9355901.10891144
 DZA, MMR,9355901.10891144
 DZA, NAM,5733374.31598563
 DZA, NRU,16521270.2969083
 DZA, NPL,7795666.51221785
 DZA, NLD,2730092.36403195
 DZA, ANT,7603261.73073694
 DZA, NCL,18119028.3969809
 DZA, NZL,18349418.217546
 DZA, NIC,9152857.03256475
 DZA, NER,1425063.86921471
 DZA, NGA,2060206.64250703
 DZA, NIU,18782556.5954265
 DZA, NFK,18552965.8903246
 DZA, MNP,13774014.2353121
 DZA, NOR,3813757.03827159
 DZA, OMN,5485049.00572151
 DZA, PAK,6434456.85035626
 DZA, PLW,13497391.478713
 DZA, PSE,3131450.39729144
 DZA, PAN,8866212.56101087
 DZA, PNG,15514151.7785698
 DZA, PRY,8644017.74204105
 DZA, PER,9469731.5104479
 DZA, PHL,12041487.7197763
